component	dimension	column	mode	tables
crm/opportunity	org	dept_path	prefix	opportunities
crm/opportunity	owner	owner_id	equals	opportunities
erp/finance	legal_entity	legal_entity_id	in	finance_journal_entries,finance_journal_entry_lines,ar_ledger,ap_ledger
erp/inventory	warehouse	warehouse_id	in	inventory_balances,inventory_movements,inventory_reservations
erp/sales	org	dept_path	prefix	sales_orders
erp/sales	owner	owner_id	equals	sales_orders
infra/notification	owner	recipient_sub	equals	notification_records
infra/workflow	org	assignee_dept_path	prefix	workflow_tasks
infra/workflow	owner	assignee_sub	equals	workflow_tasks
